,Onderwerp,Totale woningvoorraad,Totale woningvoorraad,Totale woningvoorraad
,Status van bewoning,Totaal,Bewoonde woningen,Niet bewoonde woningen
Regio's,Perioden,aantal,aantal,aantal
Horst aan de Maas,2018,17610,17092,518
Horst aan de Maas,2019,17672,17184,488
Horst aan de Maas,2020,17839,17311,528
Horst aan de Maas,2021,17937,17380,557
Horst aan de Maas,2022,18101,17607,494
Horst aan de Maas,2023,18409,17887,522
Houten,2012,18971,18416,555
Houten,2013,19155,18635,520
Houten,2014,19365,18777,588
Houten,2015,19441,18991,450
Houten,2016,19542,19125,417
Houten,2017,19808,19363,445
Houten,2018,20032,19538,494
Houten,2019,20271,19854,417
Houten,2020,20417,19973,444
Houten,2021,20681,20188,493
Houten,2022,20874,20401,473
Houten,2023,21217,20685,532
Huizen,2012,18242,17624,618
Huizen,2013,18316,17706,610
Huizen,2014,18434,17734,700
Huizen,2015,18547,17900,647
Huizen,2016,18592,18053,539
Huizen,2017,18718,18234,484
Huizen,2018,18834,18259,575
Huizen,2019,18874,18326,548
Huizen,2020,18924,18406,518
Huizen,2021,19018,18501,517
Huizen,2022,19080,18570,510
Huizen,2023,19128,18601,527
Hulst,2012,13091,11648,1443
Hulst,2013,13046,12040,1006
Hulst,2014,13103,12109,994
Hulst,2015,13190,12237,953
Hulst,2016,13272,12280,992
Hulst,2017,13323,12326,997
Hulst,2018,13384,12425,959
Hulst,2019,13520,12494,1026
Hulst,2020,13587,12576,1011
Hulst,2021,13618,12654,964
Hulst,2022,13628,12705,923
Hulst,2023,13649,12763,886
IJsselstein,2012,13726,13409,317
IJsselstein,2013,13857,13481,376
IJsselstein,2014,13968,13587,381
IJsselstein,2015,14006,13670,336
IJsselstein,2016,14169,13867,302
IJsselstein,2017,14319,13964,355
IJsselstein,2018,14344,14089,255
IJsselstein,2019,14377,14103,274
IJsselstein,2020,14407,14116,291
IJsselstein,2021,14444,14147,297
IJsselstein,2022,14467,14102,365
IJsselstein,2023,14533,14115,418
Kaag en Braassem,2012,10520,10004,516
Kaag en Braassem,2013,10651,10096,555
Kaag en Braassem,2014,10764,10227,537
Kaag en Braassem,2015,10835,10308,527
Kaag en Braassem,2016,11056,10583,473
Kaag en Braassem,2017,11204,10725,479
Kaag en Braassem,2018,11294,10871,423
Kaag en Braassem,2019,11486,11013,473
Kaag en Braassem,2020,11726,11292,434
Kaag en Braassem,2021,11895,11424,471
Kaag en Braassem,2022,12142,11654,488
Kaag en Braassem,2023,12378,11894,484
Kampen,2012,20845,19340,1505
Kampen,2013,20887,19715,1172
Kampen,2014,21069,19923,1146
Kampen,2015,21149,20114,1035
Kampen,2016,21343,20435,908
Kampen,2017,21535,20676,859
Kampen,2018,21843,20950,893
Kampen,2019,22097,21222,875
Kampen,2020,22517,21635,882
Kampen,2021,22785,21862,923
Kampen,2022,22896,22007,889
Kampen,2023,23340,22380,960
Kapelle,2012,5005,4813,192
Kapelle,2013,5055,4857,198
Kapelle,2014,5171,4940,231
Kapelle,2015,5195,4979,216
Kapelle,2016,5223,5028,195
Kapelle,2017,5275,5031,244
Kapelle,2018,5317,5098,219
Kapelle,2019,5350,5142,208
Kapelle,2020,5403,5162,241
Kapelle,2021,5459,5226,233
Kapelle,2022,5507,5293,214
Kapelle,2023,5530,5312,218
Katwijk,2012,24307,23360,947
Katwijk,2013,24614,23689,925
Katwijk,2014,25022,24148,874
Katwijk,2015,25491,24622,869
Katwijk,2016,25814,24920,894
Katwijk,2017,26265,25245,1020
Katwijk,2018,26329,25577,752
Katwijk,2019,26724,25796,928
Katwijk,2020,26869,25984,885
Katwijk,2021,27165,26297,868
Katwijk,2022,27202,26432,770
Katwijk,2023,27444,26634,810
Kerkrade,2012,21338,19752,1586
Kerkrade,2013,21387,19925,1462
Kerkrade,2014,22468,20992,1476
Kerkrade,2015,24014,22388,1626
Kerkrade,2016,23967,22223,1744
Kerkrade,2017,23883,22240,1643
Kerkrade,2018,23904,22370,1534
Kerkrade,2019,23679,22440,1239
Kerkrade,2020,23771,22601,1170
Kerkrade,2021,23937,22667,1270
Kerkrade,2022,23998,22767,1231
Kerkrade,2023,24167,22815,1352
Koggenland,2012,8847,8562,285
Koggenland,2013,8963,8670,293
Koggenland,2014,9128,8780,348
Koggenland,2015,9148,8833,315
Koggenland,2016,9220,8916,304
Koggenland,2017,9237,8935,302
Koggenland,2018,9291,9016,275
Koggenland,2019,9395,9111,284
Koggenland,2020,9473,9169,304
Koggenland,2021,9608,9314,294
Koggenland,2022,9654,9354,300
Koggenland,2023,9803,9475,328
Kollumerland en Nieuwkruisland,2012,5413,5202,211
Kollumerland en Nieuwkruisland,2013,5442,5187,255
Kollumerland en Nieuwkruisland,2014,5461,5226,235
Kollumerland en Nieuwkruisland,2015,5452,5216,236
Kollumerland en Nieuwkruisland,2016,5426,5256,170
Kollumerland en Nieuwkruisland,2017,5489,5295,194
Kollumerland en Nieuwkruisland,2018,5524,5308,216
Kollumerland en Nieuwkruisland,2019,,,
Kollumerland en Nieuwkruisland,2020,,,
Kollumerland en Nieuwkruisland,2021,,,
Kollumerland en Nieuwkruisland,2022,,,
Kollumerland en Nieuwkruisland,2023,,,
Korendijk,2012,4355,4175,180
Korendijk,2013,4382,4193,189
Korendijk,2014,4372,4204,168
Korendijk,2015,4395,4226,169
Korendijk,2016,4457,4291,166
Korendijk,2017,4571,4369,202
Korendijk,2018,4595,4440,155
Korendijk,2019,,,
Korendijk,2020,,,
Korendijk,2021,,,
Korendijk,2022,,,
Korendijk,2023,,,
Krimpen aan den IJssel,2012,12109,11623,486
Krimpen aan den IJssel,2013,12461,11787,674
Krimpen aan den IJssel,2014,12329,11867,462
Krimpen aan den IJssel,2015,12322,11964,358
Krimpen aan den IJssel,2016,12318,12044,274
Krimpen aan den IJssel,2017,12333,12044,289
Krimpen aan den IJssel,2018,12451,12142,309
Krimpen aan den IJssel,2019,12527,12228,299
Krimpen aan den IJssel,2020,12636,12294,342
Krimpen aan den IJssel,2021,12648,12314,334
Krimpen aan den IJssel,2022,12575,12293,282
Krimpen aan den IJssel,2023,12572,12303,269
Krimpenerwaard,2012,,,
Krimpenerwaard,2013,,,
Krimpenerwaard,2014,,,
Krimpenerwaard,2015,23265,21935,1330
Krimpenerwaard,2016,23331,22231,1100
Krimpenerwaard,2017,23541,22444,1097
Krimpenerwaard,2018,23569,22649,920
Krimpenerwaard,2019,23787,22836,951
Krimpenerwaard,2020,23933,23005,928
Krimpenerwaard,2021,23944,23072,872
Krimpenerwaard,2022,24141,23279,862
Krimpenerwaard,2023,24450,23532,918
Laarbeek,2012,8755,8423,332
Laarbeek,2013,9125,8724,401
Laarbeek,2014,9138,8790,348
Laarbeek,2015,9227,8912,315
Laarbeek,2016,9237,8928,309
Laarbeek,2017,9231,8935,296
Laarbeek,2018,9318,9014,304
Laarbeek,2019,9446,9143,303
Laarbeek,2020,9531,9212,319
Laarbeek,2021,9793,9496,297
Laarbeek,2022,9855,9534,321
Laarbeek,2023,9908,9610,298
Land van Cuijk,2012,,,
Land van Cuijk,2013,,,
Land van Cuijk,2014,,,
Land van Cuijk,2015,,,
Land van Cuijk,2016,,,
Land van Cuijk,2017,,,
Land van Cuijk,2018,,,
Land van Cuijk,2019,,,
Land van Cuijk,2020,,,
Land van Cuijk,2021,,,
Land van Cuijk,2022,39331,38198,1133
Land van Cuijk,2023,39868,38612,1256
Landerd,2012,5698,5386,312
Landerd,2013,5793,5551,242
Landerd,2014,5912,5661,251
Landerd,2015,5971,5757,214
Landerd,2016,6004,5781,223
Landerd,2017,6074,5861,213
Landerd,2018,6126,5924,202
Landerd,2019,6300,6018,282
Landerd,2020,6403,6177,226
Landerd,2021,6461,6254,207
Landerd,2022,,,
Landerd,2023,,,
Landgraaf,2012,17833,16951,882
Landgraaf,2013,17899,17011,888
Landgraaf,2014,17969,17093,876
Landgraaf,2015,17897,17194,703
Landgraaf,2016,17923,17236,687
Landgraaf,2017,18038,17323,715
Landgraaf,2018,18128,17444,684
Landgraaf,2019,18139,17500,639
Landgraaf,2020,18142,17532,610
Landgraaf,2021,18152,17512,640
Landgraaf,2022,18133,17467,666
Landgraaf,2023,18139,17495,644
Landsmeer,2012,4391,4225,166
Landsmeer,2013,4432,4267,165
Landsmeer,2014,4463,4312,151
Landsmeer,2015,4646,4482,164
Landsmeer,2016,4668,4509,159
Landsmeer,2017,4739,4587,152
Landsmeer,2018,4835,4665,170
Landsmeer,2019,4853,4651,202
Landsmeer,2020,4896,4674,222
Landsmeer,2021,4897,4736,161
Landsmeer,2022,4901,4729,172
Landsmeer,2023,4915,4757,158
Langedijk,2012,10696,10400,296
Langedijk,2013,10773,10427,346
Langedijk,2014,10937,10631,306
Langedijk,2015,11079,10801,278
Langedijk,2016,11295,10969,326
Langedijk,2017,11312,11035,277
Langedijk,2018,11467,11146,321
Langedijk,2019,11567,11280,287
Langedijk,2020,11650,11347,303
Langedijk,2021,11773,11456,317
Langedijk,2022,,,
Langedijk,2023,,,
Lansingerland,2012,21230,20397,833
Lansingerland,2013,21913,21114,799
Lansingerland,2014,22158,21393,765
Lansingerland,2015,22523,21780,743
Lansingerland,2016,22942,22221,721
Lansingerland,2017,23255,22584,671
Lansingerland,2018,23565,22956,609
Lansingerland,2019,23802,23129,673
Lansingerland,2020,24249,23444,805
Lansingerland,2021,24686,23841,845
Lansingerland,2022,24828,24200,628
Lansingerland,2023,24865,24251,614
Laren (NH.),2012,4971,4567,404
Laren (NH.),2013,5161,4659,502
Laren (NH.),2014,5166,4693,473
Laren (NH.),2015,5167,4722,445
Laren (NH.),2016,5181,4745,436
Laren (NH.),2017,5244,4784,460
Laren (NH.),2018,5269,4848,421
Laren (NH.),2019,5280,4856,424
Laren (NH.),2020,5400,4905,495
Laren (NH.),2021,5441,4989,452
Laren (NH.),2022,5445,5047,398
Laren (NH.),2023,5475,5088,387
Leek,2012,8057,7808,249
Leek,2013,8308,8093,215
Leek,2014,8367,8167,200
Leek,2015,8412,8205,207
Leek,2016,8498,8297,201
Leek,2017,8587,8394,193
Leek,2018,8614,8441,173
Leek,2019,,,
Leek,2020,,,
Leek,2021,,,
Leek,2022,,,
Leek,2023,,,
Leerdam,2012,8480,8069,411
Leerdam,2013,8544,8218,326
Leerdam,2014,8686,8240,446
Leerdam,2015,8565,8254,311
Leerdam,2016,8757,8362,395
Leerdam,2017,8762,8460,302
Leerdam,2018,8875,8536,339
Leerdam,2019,,,
Leerdam,2020,,,
Leerdam,2021,,,
Leerdam,2022,,,
Leerdam,2023,,,
Leeuwarden,2012,46778,44392,2386
Leeuwarden,2013,47727,45385,2342
Leeuwarden,2014,53112,50395,2717
Leeuwarden,2015,53792,50877,2915
Leeuwarden,2016,54245,51274,2971
Leeuwarden,2017,54461,51845,2616
Leeuwarden,2018,60905,58204,2701
Leeuwarden,2019,61492,58930,2562
Leeuwarden,2020,62599,59863,2736
Leeuwarden,2021,63066,60378,2688
Leeuwarden,2022,63988,61346,2642
Leeuwarden,2023,64684,61944,2740
Leeuwarderadeel,2012,4256,4135,121
Leeuwarderadeel,2013,4267,4153,114
Leeuwarderadeel,2014,4325,4214,111
Leeuwarderadeel,2015,4341,4237,104
Leeuwarderadeel,2016,4352,4252,100
Leeuwarderadeel,2017,4353,4244,109
Leeuwarderadeel,2018,,,
Leeuwarderadeel,2019,,,
Leeuwarderadeel,2020,,,
Leeuwarderadeel,2021,,,
Leeuwarderadeel,2022,,,
Leeuwarderadeel,2023,,,
Leiden,2012,53611,50783,2828
Leiden,2013,54400,51671,2729
Leiden,2014,55202,52410,2792
Leiden,2015,55231,52685,2546
Leiden,2016,56636,53791,2845
Leiden,2017,57476,55050,2426
Leiden,2018,58079,55829,2250
Leiden,2019,59088,56604,2484
Leiden,2020,59832,57156,2676
Leiden,2021,60538,57716,2822
Leiden,2022,61605,59068,2537
Leiden,2023,62598,59989,2609
Leiderdorp,2012,11838,11382,456
Leiderdorp,2013,11843,11436,407
Leiderdorp,2014,11891,11545,346
Leiderdorp,2015,11958,11611,347
Leiderdorp,2016,12016,11644,372
Leiderdorp,2017,12068,11748,320
Leiderdorp,2018,12118,11842,276
Leiderdorp,2019,12121,11835,286
Leiderdorp,2020,12119,11822,297
Leiderdorp,2021,12379,12079,300
Leiderdorp,2022,12525,12232,293
Leiderdorp,2023,12700,12263,437
Leidschendam-Voorburg,2012,35969,33789,2180
Leidschendam-Voorburg,2013,35868,33938,1930
Leidschendam-Voorburg,2014,36175,34462,1713
Leidschendam-Voorburg,2015,36383,34690,1693
Leidschendam-Voorburg,2016,36398,34823,1575
Leidschendam-Voorburg,2017,36444,34943,1501
Leidschendam-Voorburg,2018,36481,35028,1453
Leidschendam-Voorburg,2019,36781,35129,1652
Leidschendam-Voorburg,2020,36944,35438,1506
Leidschendam-Voorburg,2021,36955,35469,1486
Leidschendam-Voorburg,2022,37202,35695,1507
Leidschendam-Voorburg,2023,37690,36144,1546
Lelystad,2012,32216,30684,1532
Lelystad,2013,32379,30924,1455
Lelystad,2014,32578,31213,1365
Lelystad,2015,32658,31429,1229
Lelystad,2016,32755,31641,1114
Lelystad,2017,32895,31712,1183
Lelystad,2018,32767,31928,839
Lelystad,2019,32893,32122,771
Lelystad,2020,33385,32484,901
Lelystad,2021,33734,32883,851
Lelystad,2022,34531,33672,859
Lelystad,2023,35058,34029,1029
Lemsterland,2012,6315,5467,848
Lemsterland,2013,6435,5590,845
Lemsterland,2014,,,
Lemsterland,2015,,,
Lemsterland,2016,,,
Lemsterland,2017,,,
Lemsterland,2018,,,
Lemsterland,2019,,,
Lemsterland,2020,,,
Lemsterland,2021,,,
Lemsterland,2022,,,
Lemsterland,2023,,,
Leudal,2012,15231,14560,671
Leudal,2013,15327,14688,639
Leudal,2014,15520,14729,791
Leudal,2015,15669,14813,856
Leudal,2016,15718,15010,708
Leudal,2017,15735,15100,635
Leudal,2018,15745,15164,581
Leudal,2019,15832,15225,607
Leudal,2020,15992,15378,614
Leudal,2021,16157,15476,681
Leudal,2022,16210,15584,626
Leudal,2023,16312,15684,628
Leusden,2012,12133,11725,408
Leusden,2013,12415,11924,491
Leusden,2014,12389,12018,371
Leusden,2015,12400,12085,315
Leusden,2016,12425,12148,277
Leusden,2017,12495,12260,235
Leusden,2018,12637,12397,240
Leusden,2019,12905,12588,317
Leusden,2020,13043,12745,298
Leusden,2021,13229,12950,279
Leusden,2022,13345,13045,300
Leusden,2023,13637,13322,315
Liesveld,2012,3762,3599,163
Liesveld,2013,,,
Liesveld,2014,,,
Liesveld,2015,,,
Liesveld,2016,,,
Liesveld,2017,,,
Liesveld,2018,,,
Liesveld,2019,,,
Liesveld,2020,,,
Liesveld,2021,,,
Liesveld,2022,,,
Liesveld,2023,,,
Lingewaal,2012,4288,4132,156
Lingewaal,2013,4409,4222,187
Lingewaal,2014,4467,4337,130
Lingewaal,2015,4501,4333,168
Lingewaal,2016,4538,4379,159
Lingewaal,2017,4532,4404,128
Lingewaal,2018,4594,4431,163
Lingewaal,2019,,,
Lingewaal,2020,,,
Lingewaal,2021,,,
Lingewaal,2022,,,
Lingewaal,2023,,,
Lingewaard,2012,18539,18066,473
Lingewaard,2013,18781,18267,514
Lingewaard,2014,18884,18366,518
Lingewaard,2015,19214,18710,504
Lingewaard,2016,19423,18866,557
Lingewaard,2017,19638,19091,547
Lingewaard,2018,19646,19209,437
Lingewaard,2019,19783,19307,476
Lingewaard,2020,19872,19368,504
Lingewaard,2021,20056,19552,504
Lingewaard,2022,20183,19713,470
Lingewaard,2023,20320,19767,553
Lisse,2012,9637,9347,290
Lisse,2013,9653,9344,309
Lisse,2014,9782,9433,349
Lisse,2015,9935,9578,357
Lisse,2016,10080,9715,365
Lisse,2017,10183,9781,402
Lisse,2018,10049,9794,255
Lisse,2019,10217,9891,326
Lisse,2020,10330,9994,336
Lisse,2021,10411,10076,335
Lisse,2022,10430,10139,291
Lisse,2023,10490,10229,261
Littenseradiel,2012,4496,4242,254
Littenseradiel,2013,4531,4296,235
Littenseradiel,2014,4551,4336,215
Littenseradiel,2015,4527,4334,193
Littenseradiel,2016,4515,4354,161
Littenseradiel,2017,4528,4352,176
Littenseradiel,2018,,,
Littenseradiel,2019,,,
Littenseradiel,2020,,,
Littenseradiel,2021,,,
Littenseradiel,2022,,,
Littenseradiel,2023,,,
Lochem,2012,14113,13421,692
Lochem,2013,14265,13549,716
Lochem,2014,14396,13679,717
Lochem,2015,14519,13823,696
Lochem,2016,14624,13926,698
Lochem,2017,14778,14164,614
Lochem,2018,14916,14280,636
Lochem,2019,14997,14351,646
Lochem,2020,15096,14407,689
Lochem,2021,15165,14525,640
Lochem,2022,15305,14676,629
Lochem,2023,15446,14786,660
Loon op Zand,2012,9864,9411,453
Loon op Zand,2013,9961,9506,455
Loon op Zand,2014,10033,9604,429
Loon op Zand,2015,10025,9624,401
Loon op Zand,2016,10110,9665,445
Loon op Zand,2017,10169,9722,447
Loon op Zand,2018,10209,9807,402
Loon op Zand,2019,10317,9915,402
Loon op Zand,2020,10409,9985,424
Loon op Zand,2021,10478,10058,420
Loon op Zand,2022,10491,10196,295
Loon op Zand,2023,10516,10231,285
Lopik,2012,5315,5075,240
Lopik,2013,5347,5090,257
Lopik,2014,5364,5107,257
Lopik,2015,5383,5149,234
Lopik,2016,5488,5236,252
Lopik,2017,5526,5270,256
Lopik,2018,5581,5329,252
Lopik,2019,5660,5446,214
Lopik,2020,5741,5512,229
Lopik,2021,5838,5576,262
Lopik,2022,5848,5626,222
Lopik,2023,5879,5653,226
Loppersum,2012,4478,4266,212
Loppersum,2013,4508,4309,199
Loppersum,2014,4621,4319,302
Loppersum,2015,4657,4350,307
Loppersum,2016,4648,4340,308
Loppersum,2017,4627,4330,297
Loppersum,2018,4687,4280,407
Loppersum,2019,4698,4283,415
Loppersum,2020,4687,4299,388
Loppersum,2021,,,
Loppersum,2022,,,
Loppersum,2023,,,
Losser,2012,9291,8898,393
Losser,2013,9429,8936,493
Losser,2014,9462,9010,452
Losser,2015,9497,9072,425
Losser,2016,9559,9179,380
Losser,2017,9626,9210,416
Losser,2018,9712,9310,402
Losser,2019,9733,9368,365
Losser,2020,9789,9404,385
Losser,2021,9863,9462,401
Losser,2022,9969,9610,359
Losser,2023,10067,9685,382
Maasdonk,2012,4553,4066,487
Maasdonk,2013,4589,4123,466
Maasdonk,2014,4559,4151,408
Maasdonk,2015,,,
Maasdonk,2016,,,
Maasdonk,2017,,,
Maasdonk,2018,,,
Maasdonk,2019,,,
Maasdonk,2020,,,
Maasdonk,2021,,,
Maasdonk,2022,,,
Maasdonk,2023,,,
Maasdriel,2012,9484,9030,454
Maasdriel,2013,9531,9151,380
Maasdriel,2014,9566,9201,365
Maasdriel,2015,9639,9245,394
Maasdriel,2016,9695,9307,388
Maasdriel,2017,9749,9360,389
Maasdriel,2018,9830,9466,364
Maasdriel,2019,9947,9576,371
Maasdriel,2020,10115,9738,377
Maasdriel,2021,10207,9874,333
Maasdriel,2022,10242,9937,305
Maasdriel,2023,10377,10008,369
Maasgouw,2012,10280,9821,459
Maasgouw,2013,10298,9858,440
Maasgouw,2014,10559,10148,411
Maasgouw,2015,10599,10188,411
Maasgouw,2016,10601,10215,386
Maasgouw,2017,10641,10209,432
Maasgouw,2018,10678,10227,451
Maasgouw,2019,10702,10272,430
Maasgouw,2020,10856,10438,418
Maasgouw,2021,10965,10531,434
Maasgouw,2022,11061,10635,426
Maasgouw,2023,11262,10819,443
Maashorst,2012,,,
Maashorst,2013,,,
Maashorst,2014,,,
Maashorst,2015,,,
Maashorst,2016,,,
Maashorst,2017,,,
Maashorst,2018,,,
Maashorst,2019,,,
Maashorst,2020,,,
Maashorst,2021,,,
Maashorst,2022,25800,24989,811
Maashorst,2023,26012,25152,860
Maassluis,2012,14511,13798,713
Maassluis,2013,14459,13926,533
Maassluis,2014,14805,14064,741
Maassluis,2015,14846,14237,609
Maassluis,2016,14938,14360,578
Maassluis,2017,14943,14398,545
Maassluis,2018,15058,14437,621
Maassluis,2019,15127,14529,598
Maassluis,2020,15186,14632,554
Maassluis,2021,15389,14772,617
Maassluis,2022,15975,14991,984
Maassluis,2023,16055,15416,639
Maastricht,2012,59234,52942,6292
Maastricht,2013,60360,54646,5714
Maastricht,2014,61021,55497,5524
Maastricht,2015,60764,55732,5032
Maastricht,2016,60948,56041,4907
Maastricht,2017,61485,56195,5290
Maastricht,2018,61955,56773,5182
Maastricht,2019,61884,56874,5010
Maastricht,2020,61833,57177,4656
Maastricht,2021,62839,58076,4763
Maastricht,2022,63277,58945,4332
Maastricht,2023,64382,59644,4738
De Marne,2012,5218,4570,648
De Marne,2013,5205,4578,627
De Marne,2014,5263,4585,678
De Marne,2015,5280,4596,684
De Marne,2016,5260,4606,654
De Marne,2017,5227,4589,638
De Marne,2018,5208,4602,606
De Marne,2019,,,
De Marne,2020,,,
De Marne,2021,,,
De Marne,2022,,,
De Marne,2023,,,
Marum,2012,4113,3967,146
Marum,2013,4156,4019,137
Marum,2014,4241,4108,133
Marum,2015,4254,4115,139
Marum,2016,4291,4137,154
Marum,2017,4351,4208,143
Marum,2018,4396,4276,120
Marum,2019,,,
Marum,2020,,,
Marum,2021,,,
Marum,2022,,,
Marum,2023,,,
Medemblik,2012,17346,16752,594
Medemblik,2013,17528,16923,605
Medemblik,2014,18124,17397,727
Medemblik,2015,18237,17548,689
Medemblik,2016,18402,17693,709
Medemblik,2017,18607,17888,719
Medemblik,2018,18774,18089,685
Medemblik,2019,18957,18255,702
Medemblik,2020,19100,18422,678
Medemblik,2021,19211,18563,648
Medemblik,2022,19387,18726,661
Medemblik,2023,19454,18788,666
Meerssen,2012,8345,8018,327
Meerssen,2013,8360,8025,335
Meerssen,2014,8385,8086,299
Meerssen,2015,8445,8151,294
Meerssen,2016,8569,8202,367
Meerssen,2017,8590,8231,359
Meerssen,2018,8587,8271,316
Meerssen,2019,8603,8283,320
Meerssen,2020,8629,8302,327
Meerssen,2021,8640,8314,326
Meerssen,2022,8677,8341,336
Meerssen,2023,8684,8357,327
Meierijstad,2012,,,
Meierijstad,2013,,,
Meierijstad,2014,,,
Meierijstad,2015,,,
Meierijstad,2016,,,
Meierijstad,2017,33148,32160,988
Meierijstad,2018,33475,32391,1084
Meierijstad,2019,34102,32973,1129
Meierijstad,2020,34544,33341,1203
Meierijstad,2021,34895,33676,1219
Meierijstad,2022,35406,34307,1099
Meierijstad,2023,35758,34635,1123
Menameradiel,2012,5630,5426,204
Menameradiel,2013,5668,5476,192
Menameradiel,2014,5831,5635,196
Menameradiel,2015,5840,5623,217
Menameradiel,2016,5851,5641,210
Menameradiel,2017,5849,5655,194
Menameradiel,2018,,,
Menameradiel,2019,,,
Menameradiel,2020,,,
Menameradiel,2021,,,
Menameradiel,2022,,,
Menameradiel,2023,,,
Menterwolde,2012,5370,5147,223
Menterwolde,2013,5369,5165,204
Menterwolde,2014,5411,5227,184
Menterwolde,2015,5406,5216,190
Menterwolde,2016,5408,5239,169
Menterwolde,2017,5407,5249,158
Menterwolde,2018,,,
Menterwolde,2019,,,
Menterwolde,2020,,,
Menterwolde,2021,,,
Menterwolde,2022,,,
Menterwolde,2023,,,
Meppel,2012,14352,13555,797
Meppel,2013,14686,13985,701
Meppel,2014,15101,14382,719
Meppel,2015,15076,14400,676
Meppel,2016,15177,14479,698
Meppel,2017,15388,14686,702
Meppel,2018,15586,14940,646
Meppel,2019,15658,15059,599
Meppel,2020,15851,15225,626
Meppel,2021,16106,15465,641
Meppel,2022,16297,15762,535
Meppel,2023,16390,15796,594
Middelburg (Z.),2012,22576,21313,1263
Middelburg (Z.),2013,22739,21505,1234
Middelburg (Z.),2014,23169,21922,1247
Middelburg (Z.),2015,23008,21839,1169
Middelburg (Z.),2016,23004,21881,1123
Middelburg (Z.),2017,23167,22087,1080
Middelburg (Z.),2018,23349,22220,1129
Middelburg (Z.),2019,23532,22446,1086
Middelburg (Z.),2020,23683,22593,1090
Middelburg (Z.),2021,23906,22781,1125
Middelburg (Z.),2022,24059,22930,1129
Middelburg (Z.),2023,24458,23311,1147
Middelharnis,2012,7586,7243,343
Middelharnis,2013,,,
Middelharnis,2014,,,
Middelharnis,2015,,,
Middelharnis,2016,,,
Middelharnis,2017,,,
Middelharnis,2018,,,
Middelharnis,2019,,,
Middelharnis,2020,,,
Middelharnis,2021,,,
Middelharnis,2022,,,
Middelharnis,2023,,,
Midden-Delfland,2012,7195,6948,247
Midden-Delfland,2013,7281,7006,275
Midden-Delfland,2014,7449,7183,266
Midden-Delfland,2015,7578,7333,245
Midden-Delfland,2016,7649,7419,230
Midden-Delfland,2017,7727,7495,232
Midden-Delfland,2018,7836,7645,191
Midden-Delfland,2019,7883,7699,184
Midden-Delfland,2020,7904,7701,203
Midden-Delfland,2021,7996,7777,219
Midden-Delfland,2022,8052,7860,192
Midden-Delfland,2023,8058,7851,207
Midden-Drenthe,2012,13950,13343,607
Midden-Drenthe,2013,13986,13356,630
Midden-Drenthe,2014,13976,13356,620
Midden-Drenthe,2015,14045,13384,661
Midden-Drenthe,2016,14030,13423,607
Midden-Drenthe,2017,14156,13585,571
Midden-Drenthe,2018,14304,13738,566
Midden-Drenthe,2019,14313,13799,514
Midden-Drenthe,2020,14378,13834,544
Midden-Drenthe,2021,14413,13892,521
Midden-Drenthe,2022,14674,14122,552
Midden-Drenthe,2023,14704,14168,536
Midden-Groningen,2012,,,
Midden-Groningen,2013,,,
Midden-Groningen,2014,,,
Midden-Groningen,2015,,,
Midden-Groningen,2016,,,
Midden-Groningen,2017,,,
Midden-Groningen,2018,28025,26899,1126
Midden-Groningen,2019,28074,27118,956
Midden-Groningen,2020,28167,27212,955
Midden-Groningen,2021,28154,27236,918
Midden-Groningen,2022,28313,27407,906
Midden-Groningen,2023,28587,27529,1058
Mill en Sint Hubert,2012,4378,4186,192
Mill en Sint Hubert,2013,4437,4235,202
Mill en Sint Hubert,2014,4514,4311,203
Mill en Sint Hubert,2015,4511,4327,184
Mill en Sint Hubert,2016,4440,4298,142
Mill en Sint Hubert,2017,4494,4354,140
Mill en Sint Hubert,2018,4531,4392,139
Mill en Sint Hubert,2019,4569,4421,148
Mill en Sint Hubert,2020,4627,4472,155
Mill en Sint Hubert,2021,4658,4536,122
Mill en Sint Hubert,2022,,,
Mill en Sint Hubert,2023,,,
Millingen aan de Rijn,2012,2486,2403,83
Millingen aan de Rijn,2013,2528,2448,80
Millingen aan de Rijn,2014,2564,2471,93
Millingen aan de Rijn,2015,,,
Millingen aan de Rijn,2016,,,
Millingen aan de Rijn,2017,,,
Millingen aan de Rijn,2018,,,
Millingen aan de Rijn,2019,,,
Millingen aan de Rijn,2020,,,
Millingen aan de Rijn,2021,,,
Millingen aan de Rijn,2022,,,
Millingen aan de Rijn,2023,,,
Moerdijk,2012,15708,14916,792
Moerdijk,2013,15812,15096,716
Moerdijk,2014,15970,15318,652
Moerdijk,2015,16077,15491,586
Moerdijk,2016,16116,15522,594
Moerdijk,2017,16315,15673,642
Moerdijk,2018,16340,15829,511
Moerdijk,2019,16407,15895,512
Moerdijk,2020,16501,15996,505
Moerdijk,2021,16629,16123,506
Moerdijk,2022,16672,16196,476
Moerdijk,2023,16783,16294,489
Molenlanden,2012,,,
Molenlanden,2013,,,
Molenlanden,2014,,,
Molenlanden,2015,,,
Molenlanden,2016,,,
Molenlanden,2017,,,
Molenlanden,2018,,,
Molenlanden,2019,17159,16491,668
Molenlanden,2020,17205,16538,667
Molenlanden,2021,17340,16674,666
Molenlanden,2022,17625,16976,649
Molenlanden,2023,17852,17143,709
Molenwaard,2012,,,
Molenwaard,2013,10840,10375,465
Molenwaard,2014,10938,10463,475
Molenwaard,2015,10941,10442,499
Molenwaard,2016,11021,10529,492
Molenwaard,2017,11109,10630,479
